school_urn,local_authority_id,academy_URN,result_type,result_year,total_pupils,is_special,new_school,ks2_percent_low_ks1_attainers,ks2_percent_medium_ks1_attainers,ks2_percent_high_ks1_attainers,ks2_percent_disadvantaged,ks2_percent_not_disadvantaged,ks2_percent_EAL,ks2_percent_non_mobile,ks2_percent_special_needs,ks2_percent_2_levels_progress_maths,ks2_percent_boys_2_levels_progress_maths,ks2_percent_girls_2_levels_progress_maths,ks2_percent_low_PA_2_levels_progress_maths,ks2_percent_med_PA_2_levels_progress_maths,ks2_percent_high_PA_2_levels_progress_maths,ks2_percent_disadvantaged_2_levels_progress_maths,ks2_percent_non_disadvantaged_2_levels_progress_maths,ks2_percent_GAP_disadvantaged_others_2_levels_progress_maths,ks2_percent_EAL_2_levels_progress_maths,ks2_percent_2_levels_progress_maths_3YR_avg,ks2_percent_disadvantaged_2_levels_progress_maths_3YR_avg,ks2_percent_non_disadvantaged_2_levels_progress_maths_3YR_avg,ks2_percent_2_levels_progress_reading,ks2_percent_boys_2_levels_progress_reading,ks2_percent_girls_2_levels_progress_reading,ks2_percent_low_PA_2_levels_progress_reading,ks2_percent_med_PA_2_levels_progress_reading,ks2_percent_high_PA_2_levels_progress_reading,ks2_percent_disadvantaged_2_levels_progress_reading,ks2_percent_not_disadvantaged_2_levels_progress_reading,ks2_percent_GAP_disadvantaged_others_2_levels_progress_reading,ks2_percent_EAL_2_levels_progress_reading,ks2_percent_2_levels_progress_reading_3YR_avg,ks2_percent_disadvantaged_2_levels_progress_reading_3YR_avg,ks2_percent_non_disadvantaged_2_levels_progress_reading_3YR_avg,ks2_percent_2_levels_progress_writing,ks2_percent_boys_2_levels_progress_writing,ks2_percent_girls_2_levels_progress_writing,ks2_percent_low_PA_2_levels_progress_writing,ks2_percent_med_PA_2_levels_progress_writing,ks2_percent_high_PA_2_levels_progress_writing,ks2_percent_disadvantaged_2_levels_progress_writing,ks2_percent_not_disadvantaged_2_levels_progress_writing,ks2_percent_GAP_disadvantaged_others_2_levels_progress_writing,ks2_percent_EAL_2_levels_progress_writing,ks2_percent_2_levels_progress_writing_3YR_avg,ks2_percent_disadvantaged_2_levels_progress_writing_3YR_avg,ks2_percent_non_disadvantaged_2_levels_progress_writing_3YR_avg,ks2_percent_level_4_above_RWM,ks2_percent_level_4_above_RWM_2012,ks2_percent_level_4_above_RWM_2013,ks2_percent_level_4_above_RWM_2014,ks2_percent_level_4B_above_RWM,ks2_percent_level_4B_above_RWM_2013,ks2_percent_level_4B_above_RWM_2014,ks2_percent_level_5_above_RWM,ks2_percent_level_5_above_RWM_2012,ks2_percent_level_5_above_RWM_2013,ks2_percent_level_5_above_RWM_2014,ks2_percent_level_3_below_RWM,ks2_value_added,ks2_percent_disadvantaged_2012,ks2_percent_disadvantaged_2013,ks2_percent_disadvantaged_2014,ks2_percent_not_disadvantaged_2012,ks2_percent_not_disadvantaged_2013,ks2_percent_not_disadvantaged_2014,percent_SEN_statement
117684,919,,KS2,2015,127,TRUE,,100%,0%,0%,78%,22%,0%,100%,,0%,0%,,0%,,,,,,,0%,0%,0%,0%,0%,,0%,,,,,,,0%,0%,0%,0%,0%,,0%,,,,,,,0%,0%,0%,0%,0%,,0%,0%,,0%,0%,0%,,0%,100%,91.2,17%,,38%,83%,,63%,
107802,382,,KS2,2015,126,TRUE,,100%,0%,0%,70%,30%,40%,90%,,0%,,0%,0%,,,,,,,0%,0%,0%,0%,,0%,0%,,,,,,,0%,0%,0%,0%,,0%,0%,,,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,90.8,50%,63%,86%,50%,38%,14%,
114692,845,,KS2,2015,125,TRUE,,100%,0%,0%,57%,43%,14%,93%,,7%,14%,0%,8%,,,13%,0%,13,,17%,25%,9%,14%,29%,0%,17%,,,25%,0%,25,,21%,29%,13%,21%,43%,0%,25%,,,38%,0%,38,,17%,29%,5%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,92.5,36%,57%,42%,64%,43%,58%,
101855,306,,KS2,2015,123,TRUE,,100%,0%,0%,64%,36%,41%,100%,,0%,0%,0%,0%,,,0%,0%,0,0%,0%,0%,0%,0%,0%,0%,0%,,,0%,0%,0,0%,0%,0%,0%,0%,0%,0%,0%,,,0%,0%,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,88.6,50%,50%,38%,50%,50%,62%,
139521,845,,KS2,2015,123,TRUE,,100%,0%,0%,43%,57%,14%,100%,,0%,,,0%,,,,,,,0%,0%,0%,0%,,,0%,,,,,,,0%,0%,0%,0%,,,0%,,,,,,,0%,0%,0%,0%,0%,,,0%,,,0%,0%,,,100%,91.6,57%,,,43%,,,
134937,873,,KS2,2015,123,TRUE,,100%,0%,0%,44%,56%,0%,89%,,11%,13%,,11%,,,,,,,4%,8%,0%,11%,13%,,11%,,,,,,,4%,8%,0%,0%,0%,,0%,,,,,,,0%,0%,0%,0%,,0%,0%,0%,0%,0%,0%,,0%,0%,100%,92.4,,43%,63%,,57%,38%,
115821,916,,KS2,2015,122,TRUE,,100%,0%,0%,82%,18%,18%,100%,,0%,0%,,0%,,,,,,,0%,0%,0%,0%,0%,,0%,,,,,,,0%,0%,0%,0%,0%,,0%,,,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,90.9,33%,14%,50%,67%,86%,50%,
136252,393,,KS2,2015,121,TRUE,,100%,0%,0%,67%,33%,17%,83%,,0%,,,0%,,,,,,,0%,0%,0%,0%,,,0%,,,,,,,0%,0%,0%,0%,,,0%,,,,,,,0%,0%,0%,0%,,0%,0%,0%,0%,0%,0%,,0%,0%,100%,93.1,,38%,63%,,63%,38%,
135548,371,,KS2,2015,120,TRUE,,100%,0%,0%,50%,50%,17%,100%,,0%,,,,,,,,,,0%,0%,0%,0%,,,,,,,,,,0%,0%,0%,0%,,,,,,,,,,0%,0%,0%,0%,0%,,,0%,,,0%,0%,,,100%,,50%,,,50%,,,
114680,846,,KS2,2015,119,TRUE,,100%,0%,0%,50%,50%,0%,83%,,0%,,,,,,,,,,0%,0%,0%,0%,,,,,,,,,,0%,0%,0%,0%,,,,,,,,,,0%,0%,0%,0%,0%,,0%,0%,,0%,0%,0%,,0%,100%,,71%,,50%,29%,,50%,
119050,886,,KS2,2015,119,TRUE,,100%,0%,0%,40%,60%,0%,100%,,10%,,,10%,,,,,,,8%,22%,0%,10%,,,10%,,,,,,,12%,33%,0%,10%,,,10%,,,,,,,8%,22%,0%,0%,,0%,0%,0%,0%,0%,0%,,0%,0%,100%,91.7,,25%,38%,,75%,63%,
135569,331,,KS2,2015,117,TRUE,,100%,0%,0%,37%,63%,32%,89%,,16%,25%,0%,20%,,,29%,8%,21,0%,24%,37%,13%,16%,25%,0%,20%,,,29%,8%,21,17%,19%,32%,9%,16%,25%,0%,20%,,,29%,8%,21,0%,19%,32%,9%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,95%,92.3,88%,40%,64%,13%,60%,36%,
100311,204,,KS2,2015,116,TRUE,,100%,0%,0%,90%,10%,60%,80%,,0%,,,0%,,,,,,0%,0%,,,0%,,,0%,,,,,,0%,0%,,,0%,,,0%,,,,,,0%,0%,,,0%,,,0%,0%,,0%,0%,,,0%,100%,90.8,,,50%,,,50%,
100643,208,,KS2,2015,116,TRUE,,100%,0%,0%,67%,33%,33%,100%,,0%,0%,,0%,,,,,,,0%,,,8%,10%,,8%,,,,,,,3%,,,0%,0%,,0%,,,,,,,0%,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,91.2,75%,100%,91%,25%,0%,9%,
118145,811,,KS2,2015,116,TRUE,,100%,0%,0%,71%,29%,0%,100%,,0%,,,0%,,,,,,,0%,0%,0%,0%,,,0%,,,,,,,0%,0%,0%,0%,,,0%,,,,,,,0%,0%,0%,0%,0%,,,0%,,,0%,0%,,,100%,92.6,22%,,,78%,,,
104415,336,,KS2,2015,115,TRUE,,100%,0%,0%,56%,44%,33%,100%,,0%,,,0%,,,,,,,0%,0%,0%,0%,,,0%,,,,,,,0%,0%,0%,0%,,,0%,,,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,90.9,58%,50%,83%,42%,50%,17%,
115823,916,,KS2,2015,115,TRUE,,100%,0%,0%,89%,11%,0%,100%,,0%,0%,,0%,,,,,,,4%,6%,0%,0%,0%,,0%,,,,,,,0%,0%,0%,0%,0%,,0%,,,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,91.9,50%,44%,67%,50%,56%,33%,
135235,380,,KS2,2015,114,TRUE,,100%,0%,0%,73%,27%,67%,80%,,0%,0%,0%,0%,,,,,,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,89.6,44%,55%,40%,56%,45%,60%,
106281,357,,KS2,2015,113,TRUE,,100%,0%,0%,38%,62%,46%,100%,,0%,0%,,0%,,,,,,0%,0%,0%,0%,0%,0%,,0%,,,,,,0%,0%,0%,0%,0%,0%,,0%,,,,,,0%,0%,0%,0%,0%,,0%,0%,0%,0%,0%,0%,,0%,0%,100%,90.2,,56%,86%,,44%,14%,
