school_urn,local_authority_id,academy_URN,result_type,result_year,total_pupils,is_special,new_school,ks2_percent_low_ks1_attainers,ks2_percent_medium_ks1_attainers,ks2_percent_high_ks1_attainers,ks2_percent_disadvantaged,ks2_percent_not_disadvantaged,ks2_percent_EAL,ks2_percent_non_mobile,ks2_percent_special_needs,ks2_percent_2_levels_progress_maths,ks2_percent_boys_2_levels_progress_maths,ks2_percent_girls_2_levels_progress_maths,ks2_percent_low_PA_2_levels_progress_maths,ks2_percent_med_PA_2_levels_progress_maths,ks2_percent_high_PA_2_levels_progress_maths,ks2_percent_disadvantaged_2_levels_progress_maths,ks2_percent_non_disadvantaged_2_levels_progress_maths,ks2_percent_GAP_disadvantaged_others_2_levels_progress_maths,ks2_percent_EAL_2_levels_progress_maths,ks2_percent_2_levels_progress_maths_3YR_avg,ks2_percent_disadvantaged_2_levels_progress_maths_3YR_avg,ks2_percent_non_disadvantaged_2_levels_progress_maths_3YR_avg,ks2_percent_2_levels_progress_reading,ks2_percent_boys_2_levels_progress_reading,ks2_percent_girls_2_levels_progress_reading,ks2_percent_low_PA_2_levels_progress_reading,ks2_percent_med_PA_2_levels_progress_reading,ks2_percent_high_PA_2_levels_progress_reading,ks2_percent_disadvantaged_2_levels_progress_reading,ks2_percent_not_disadvantaged_2_levels_progress_reading,ks2_percent_GAP_disadvantaged_others_2_levels_progress_reading,ks2_percent_EAL_2_levels_progress_reading,ks2_percent_2_levels_progress_reading_3YR_avg,ks2_percent_disadvantaged_2_levels_progress_reading_3YR_avg,ks2_percent_non_disadvantaged_2_levels_progress_reading_3YR_avg,ks2_percent_2_levels_progress_writing,ks2_percent_boys_2_levels_progress_writing,ks2_percent_girls_2_levels_progress_writing,ks2_percent_low_PA_2_levels_progress_writing,ks2_percent_med_PA_2_levels_progress_writing,ks2_percent_high_PA_2_levels_progress_writing,ks2_percent_disadvantaged_2_levels_progress_writing,ks2_percent_not_disadvantaged_2_levels_progress_writing,ks2_percent_GAP_disadvantaged_others_2_levels_progress_writing,ks2_percent_EAL_2_levels_progress_writing,ks2_percent_2_levels_progress_writing_3YR_avg,ks2_percent_disadvantaged_2_levels_progress_writing_3YR_avg,ks2_percent_non_disadvantaged_2_levels_progress_writing_3YR_avg,ks2_percent_level_4_above_RWM,ks2_percent_level_4_above_RWM_2012,ks2_percent_level_4_above_RWM_2013,ks2_percent_level_4_above_RWM_2014,ks2_percent_level_4B_above_RWM,ks2_percent_level_4B_above_RWM_2013,ks2_percent_level_4B_above_RWM_2014,ks2_percent_level_5_above_RWM,ks2_percent_level_5_above_RWM_2012,ks2_percent_level_5_above_RWM_2013,ks2_percent_level_5_above_RWM_2014,ks2_percent_level_3_below_RWM,ks2_value_added,ks2_percent_disadvantaged_2012,ks2_percent_disadvantaged_2013,ks2_percent_disadvantaged_2014,ks2_percent_not_disadvantaged_2012,ks2_percent_not_disadvantaged_2013,ks2_percent_not_disadvantaged_2014,percent_SEN_statement
140246,810,,KS2,2015,247,FALSE,,14%,68%,18%,79%,21%,0%,93%,0%,93%,100%,85%,,100%,,91%,100%,-9,,91%,89%,100%,100%,100%,100%,,100%,,100%,100%,0,,99%,98%,100%,93%,93%,92%,,100%,,95%,83%,12,,89%,87%,94%,93%,80%,77%,75%,72%,67%,58%,14%,10%,13%,13%,0%,99.9,65%,73%,83%,35%,27%,17%,0%
132785,350,,KS2,2015,245,FALSE,,20%,60%,20%,30%,70%,0%,93%,3%,97%,95%,100%,83%,100%,100%,100%,95%,5,,95%,100%,93%,97%,95%,100%,83%,100%,100%,100%,95%,5,,92%,92%,92%,97%,95%,100%,83%,100%,100%,100%,95%,5,,99%,100%,98%,87%,77%,72%,88%,73%,62%,77%,30%,30%,31%,31%,3%,99.8,30%,34%,27%,70%,66%,73%,3%
137391,381,,KS2,2015,245,FALSE,,23%,42%,35%,27%,73%,4%,88%,27%,88%,91%,86%,,82%,89%,100%,84%,16,,92%,93%,92%,92%,91%,93%,100%,100%,78%,100%,89%,11,,97%,100%,96%,100%,100%,100%,100%,100%,100%,100%,100%,0,,97%,93%,100%,77%,80%,91%,83%,73%,70%,67%,31%,30%,13%,10%,0%,100.7,17%,35%,47%,83%,65%,53%,8%
118306,886,,KS2,2015,243,FALSE,,28%,38%,34%,22%,78%,13%,97%,19%,93%,94%,92%,75%,100%,100%,86%,95%,-9,,91%,85%,93%,86%,81%,92%,50%,100%,100%,86%,86%,0,,89%,70%,94%,97%,100%,92%,88%,100%,100%,100%,95%,5,,95%,90%,97%,78%,56%,80%,73%,69%,64%,70%,38%,10%,20%,36%,9%,99.5,17%,20%,24%,83%,80%,76%,3%
101299,302,,KS2,2015,242,FALSE,,35%,30%,35%,46%,54%,75%,79%,4%,95%,91%,100%,86%,100%,100%,100%,90%,10,93%,94%,94%,94%,85%,90%,80%,86%,67%,100%,82%,89%,-7,86%,94%,94%,94%,90%,90%,90%,71%,100%,100%,91%,89%,2,86%,85%,84%,87%,83%,65%,88%,67%,79%,72%,67%,33%,0%,20%,13%,8%,100,50%,36%,54%,50%,64%,46%,4%
141291,305,,KS2,2015,241,FALSE,,22%,59%,19%,67%,33%,19%,96%,0%,93%,94%,89%,100%,94%,,94%,89%,5,,91%,90%,92%,100%,100%,100%,100%,100%,,100%,100%,0,,98%,100%,95%,100%,100%,100%,100%,100%,,100%,100%,0,,98%,100%,95%,93%,62%,72%,83%,78%,45%,73%,19%,3%,14%,10%,0%,100.6,48%,45%,60%,52%,55%,40%,0%
103339,330,,KS2,2015,240,FALSE,,27%,47%,27%,50%,50%,3%,97%,13%,90%,88%,92%,63%,100%,100%,93%,87%,6,,93%,92%,94%,97%,94%,100%,100%,100%,88%,100%,93%,7,,96%,96%,97%,93%,88%,100%,88%,93%,100%,93%,93%,0,,95%,94%,97%,80%,89%,80%,89%,63%,68%,68%,20%,26%,36%,25%,3%,99.7,59%,64%,71%,41%,36%,29%,0%
140367,881,,KS2,2015,240,FALSE,,14%,66%,20%,44%,56%,0%,100%,0%,90%,92%,86%,63%,95%,92%,100%,82%,18,,90%,100%,82%,88%,86%,91%,50%,95%,92%,85%,91%,-6,,88%,85%,91%,98%,100%,95%,100%,97%,100%,100%,97%,3,,98%,100%,97%,76%,,,,56%,,,15%,,,,3%,99,,,,,,,0%
117465,919,,KS2,2015,240,FALSE,,13%,73%,13%,13%,87%,23%,100%,0%,97%,94%,100%,,100%,,,,,86%,93%,83%,95%,93%,94%,93%,,95%,,,,,86%,90%,89%,91%,97%,94%,100%,,100%,,,,,86%,98%,94%,98%,90%,93%,62%,93%,73%,59%,85%,27%,34%,31%,22%,7%,100.3,24%,31%,19%,76%,69%,81%,0%
105245,350,,KS2,2015,239,FALSE,,20%,56%,24%,37%,63%,33%,89%,7%,92%,83%,100%,,100%,100%,100%,87%,13,86%,90%,94%,88%,88%,75%,100%,,100%,100%,90%,87%,3,86%,87%,87%,87%,92%,83%,100%,,100%,100%,90%,93%,-3,100%,94%,90%,96%,85%,88%,64%,77%,81%,50%,55%,33%,28%,11%,29%,11%,100.1,40%,36%,39%,60%,64%,61%,4%
119467,888,,KS2,2015,239,FALSE,,20%,52%,28%,32%,68%,8%,100%,0%,96%,100%,92%,,92%,100%,100%,94%,6,,85%,80%,87%,96%,100%,92%,,92%,100%,100%,94%,6,,96%,95%,96%,96%,100%,92%,,92%,100%,100%,94%,6,,97%,95%,98%,84%,79%,54%,92%,84%,46%,83%,32%,5%,8%,17%,8%,100.7,21%,23%,25%,79%,77%,75%,0%
117249,919,,KS2,2015,238,FALSE,,14%,55%,31%,20%,80%,3%,100%,3%,62%,57%,67%,,75%,56%,67%,61%,6,,78%,78%,79%,76%,57%,93%,,81%,89%,83%,74%,9,,89%,89%,89%,90%,79%,100%,,94%,100%,83%,91%,-8,,85%,78%,87%,67%,83%,83%,70%,47%,67%,63%,7%,7%,20%,27%,13%,97.3,33%,20%,20%,67%,80%,80%,3%
102424,312,,KS2,2015,237,FALSE,,15%,59%,26%,23%,77%,37%,97%,17%,93%,91%,94%,,88%,100%,100%,90%,10,100%,94%,100%,91%,96%,91%,100%,,100%,86%,86%,100%,-14,88%,91%,91%,91%,100%,100%,100%,,100%,100%,100%,100%,0,100%,98%,95%,98%,77%,86%,77%,90%,70%,62%,80%,37%,36%,19%,50%,10%,100.4,21%,31%,27%,79%,69%,73%,0%
116334,850,,KS2,2015,235,FALSE,,22%,49%,29%,34%,66%,2%,98%,2%,92%,84%,100%,77%,97%,94%,80%,97%,-17,,83%,82%,84%,88%,81%,96%,85%,97%,76%,90%,87%,3,,85%,82%,87%,93%,91%,96%,92%,93%,94%,90%,95%,-5,,89%,83%,92%,80%,70%,73%,59%,61%,57%,43%,19%,11%,0%,3%,8%,99.1,38%,55%,40%,62%,45%,60%,2%
115100,881,,KS2,2015,235,FALSE,,14%,69%,17%,29%,71%,12%,95%,9%,88%,96%,80%,63%,90%,100%,76%,93%,-17,100%,91%,84%,95%,84%,93%,77%,50%,88%,100%,76%,88%,-12,100%,89%,88%,89%,91%,96%,87%,88%,90%,100%,88%,93%,-5,100%,93%,91%,94%,67%,65%,81%,81%,52%,73%,64%,16%,17%,22%,12%,5%,98.8,38%,34%,34%,62%,66%,66%,2%
123804,933,,KS2,2015,235,FALSE,,20%,54%,27%,17%,83%,0%,85%,0%,88%,89%,87%,75%,86%,100%,71%,91%,-20,,88%,80%,90%,85%,89%,83%,88%,77%,100%,86%,85%,1,,93%,93%,93%,95%,94%,96%,100%,91%,100%,100%,94%,6,,95%,100%,94%,66%,67%,74%,84%,54%,48%,78%,24%,11%,13%,38%,10%,99.1,6%,10%,16%,94%,90%,84%,0%
104381,336,,KS2,2015,234,FALSE,,23%,46%,31%,35%,65%,15%,100%,0%,88%,89%,88%,67%,92%,100%,67%,100%,-33,,86%,75%,92%,92%,89%,94%,67%,100%,100%,78%,100%,-22,,92%,82%,98%,96%,89%,100%,100%,92%,100%,100%,94%,6,,99%,100%,98%,77%,71%,68%,79%,69%,60%,62%,27%,21%,40%,28%,12%,99.7,36%,32%,41%,64%,68%,59%,0%
103186,330,,KS2,2015,233,FALSE,,21%,57%,22%,66%,34%,7%,83%,7%,84%,89%,81%,58%,88%,100%,82%,90%,-8,,86%,83%,92%,88%,93%,84%,75%,88%,100%,84%,95%,-11,,92%,89%,97%,90%,85%,94%,83%,94%,85%,95%,80%,15,,95%,97%,92%,71%,73%,82%,73%,58%,60%,57%,14%,13%,11%,15%,5%,99,66%,62%,58%,34%,38%,42%,7%
106632,370,,KS2,2015,233,FALSE,,11%,64%,25%,17%,83%,10%,100%,3%,100%,100%,100%,,100%,100%,,,,,99%,92%,100%,86%,81%,92%,,83%,100%,,,,,84%,62%,89%,100%,100%,100%,,100%,100%,,,,,99%,100%,98%,90%,70%,79%,56%,76%,66%,44%,21%,15%,28%,12%,3%,100.5,11%,7%,24%,89%,93%,76%,0%
105828,354,,KS2,2015,232,FALSE,,18%,71%,11%,46%,54%,7%,100%,0%,96%,93%,100%,,100%,,92%,100%,-8,,96%,97%,96%,93%,86%,100%,,95%,,85%,100%,-15,,95%,94%,96%,100%,100%,100%,,100%,,100%,100%,0,,99%,100%,98%,96%,89%,89%,88%,96%,89%,65%,21%,36%,36%,12%,4%,100.9,36%,39%,31%,64%,61%,69%,0%
115302,881,,KS2,2015,232,FALSE,,19%,59%,22%,25%,75%,0%,86%,14%,100%,100%,100%,,100%,100%,100%,100%,0,,93%,100%,91%,100%,100%,100%,,100%,100%,100%,100%,0,,94%,94%,94%,96%,94%,100%,,100%,100%,86%,100%,-14,,94%,81%,97%,93%,64%,79%,89%,79%,64%,67%,36%,20%,4%,22%,0%,100.8,12%,14%,19%,88%,86%,81%,0%
113442,878,,KS2,2015,231,FALSE,,16%,68%,16%,24%,76%,44%,92%,0%,92%,100%,86%,,88%,,100%,89%,11,100%,94%,95%,93%,92%,91%,93%,,94%,,83%,95%,-12,100%,91%,90%,91%,100%,100%,100%,,100%,,100%,100%,0,100%,92%,86%,96%,84%,79%,81%,89%,72%,76%,68%,36%,38%,19%,39%,0%,101.5,17%,29%,36%,83%,71%,64%,0%
115622,916,,KS2,2015,230,FALSE,,13%,72%,16%,24%,76%,6%,88%,3%,100%,100%,100%,,100%,,100%,100%,0,,99%,100%,99%,97%,96%,100%,,96%,,100%,96%,4,,98%,100%,97%,100%,100%,100%,,100%,,100%,100%,0,,100%,100%,100%,88%,81%,84%,88%,82%,72%,78%,42%,16%,47%,28%,0%,101.3,6%,13%,6%,94%,88%,94%,3%
117183,919,,KS2,2015,230,FALSE,,20%,63%,17%,37%,63%,27%,97%,3%,87%,82%,89%,67%,89%,,82%,89%,-7,100%,90%,89%,91%,83%,91%,79%,83%,79%,,82%,84%,-2,88%,83%,89%,79%,100%,100%,100%,100%,100%,,100%,100%,0,100%,100%,100%,100%,73%,90%,83%,92%,53%,54%,73%,20%,33%,17%,27%,3%,99.8,33%,46%,54%,67%,54%,46%,0%
101135,213,,KS2,2015,229,FALSE,,14%,69%,17%,63%,37%,67%,93%,3%,100%,100%,100%,,100%,,100%,100%,0,100%,94%,94%,93%,90%,93%,87%,,90%,,89%,91%,-2,89%,95%,94%,97%,100%,100%,100%,,100%,,100%,100%,0,100%,99%,98%,100%,93%,79%,82%,92%,67%,71%,76%,27%,14%,18%,32%,0%,101.3,79%,71%,52%,21%,29%,48%,3%
105942,355,,KS2,2015,228,FALSE,,12%,76%,12%,21%,79%,11%,93%,18%,84%,93%,73%,,84%,,,,,,89%,80%,91%,92%,86%,100%,,89%,,,,,,94%,100%,93%,96%,93%,100%,,95%,,,,,,98%,100%,97%,75%,73%,86%,86%,54%,76%,69%,14%,27%,31%,28%,4%,99.6,27%,24%,10%,73%,76%,90%,0%
107843,383,,KS2,2015,228,FALSE,,3%,93%,3%,47%,53%,3%,93%,7%,90%,89%,90%,,89%,,86%,93%,-7,,93%,88%,96%,97%,100%,95%,,96%,,100%,93%,7,,95%,96%,94%,97%,100%,95%,,96%,,93%,100%,-7,,97%,92%,100%,87%,73%,68%,77%,70%,52%,68%,10%,14%,12%,18%,0%,100,27%,20%,27%,73%,80%,73%,0%
104475,340,,KS2,2015,227,FALSE,,22%,52%,26%,43%,57%,0%,91%,0%,91%,88%,93%,,92%,83%,100%,85%,15,,89%,91%,86%,100%,100%,100%,,100%,100%,100%,100%,0,,100%,100%,100%,100%,100%,100%,,100%,100%,100%,100%,0,,98%,100%,97%,78%,75%,80%,65%,78%,76%,59%,13%,21%,24%,18%,0%,99.8,50%,56%,65%,50%,44%,35%,0%
107875,383,,KS2,2015,227,FALSE,,8%,83%,8%,48%,52%,0%,96%,0%,96%,100%,93%,,95%,,92%,100%,-8,,90%,91%,89%,88%,90%,86%,,90%,,75%,100%,-25,,90%,86%,91%,96%,100%,93%,,95%,,92%,100%,-8,,97%,95%,98%,80%,68%,83%,90%,60%,67%,81%,20%,25%,13%,29%,8%,99.9,21%,21%,24%,79%,79%,76%,0%
115133,881,,KS2,2015,227,FALSE,,13%,68%,19%,29%,71%,3%,94%,6%,97%,100%,94%,,95%,100%,100%,95%,5,,86%,95%,83%,97%,93%,100%,,95%,100%,100%,95%,5,,95%,90%,96%,100%,100%,100%,,100%,100%,100%,100%,0,,72%,85%,69%,90%,69%,60%,75%,81%,46%,66%,16%,23%,6%,19%,3%,100.2,17%,11%,22%,83%,89%,78%,6%
114852,881,,KS2,2015,226,FALSE,,15%,56%,30%,14%,86%,0%,86%,7%,96%,100%,95%,,93%,100%,,,,,91%,90%,92%,96%,88%,100%,,93%,100%,,,,,91%,80%,93%,100%,100%,100%,,100%,100%,,,,,99%,100%,99%,86%,61%,75%,78%,79%,63%,63%,34%,7%,13%,31%,3%,101.1,14%,25%,3%,86%,75%,97%,7%
100271,204,,KS2,2015,224,FALSE,,16%,68%,16%,57%,43%,50%,89%,0%,100%,100%,100%,,100%,,100%,100%,0,100%,100%,100%,100%,100%,100%,100%,,100%,,100%,100%,0,100%,99%,98%,100%,100%,100%,100%,,100%,,100%,100%,0,100%,99%,98%,100%,100%,83%,91%,82%,86%,83%,61%,21%,4%,13%,14%,0%,101.1,35%,61%,54%,65%,39%,46%,0%
103264,330,,KS2,2015,224,FALSE,,20%,52%,28%,58%,42%,27%,92%,0%,100%,100%,100%,,100%,100%,100%,100%,0,100%,97%,100%,94%,100%,100%,100%,,100%,100%,100%,100%,0,100%,98%,100%,97%,100%,100%,100%,,100%,100%,100%,100%,0,100%,98%,100%,97%,96%,67%,82%,88%,81%,82%,85%,27%,28%,41%,31%,0%,101.4,61%,47%,46%,39%,53%,54%,0%
114125,840,,KS2,2015,223,FALSE,,17%,63%,21%,21%,79%,4%,100%,4%,92%,93%,90%,,87%,,,,,,89%,90%,88%,92%,86%,100%,,100%,,,,,,96%,70%,100%,100%,100%,100%,,100%,,,,,,96%,90%,97%,79%,90%,78%,91%,58%,65%,91%,25%,38%,22%,43%,4%,99.9,5%,13%,9%,95%,87%,91%,0%
116147,850,,KS2,2015,223,FALSE,,15%,70%,15%,38%,63%,29%,96%,0%,100%,100%,100%,100%,100%,100%,100%,100%,0,100%,97%,95%,99%,96%,91%,100%,100%,97%,86%,100%,93%,7,92%,93%,93%,93%,100%,100%,100%,100%,100%,100%,100%,100%,0,100%,98%,95%,100%,98%,83%,72%,82%,94%,56%,78%,27%,26%,18%,12%,0%,101.6,33%,37%,39%,67%,63%,61%,0%
111098,895,,KS2,2015,223,FALSE,,14%,68%,18%,21%,79%,3%,97%,0%,89%,87%,92%,,95%,,50%,100%,-50,,89%,57%,96%,100%,100%,100%,,100%,,100%,100%,0,,92%,86%,93%,96%,93%,100%,,95%,,100%,95%,5,,76%,64%,78%,83%,85%,65%,73%,72%,58%,63%,17%,19%,12%,13%,7%,100.4,4%,15%,13%,96%,85%,87%,0%
100935,211,,KS2,2015,222,FALSE,,12%,77%,12%,68%,32%,86%,100%,4%,96%,100%,94%,,100%,,94%,100%,-6,95%,96%,93%,100%,96%,100%,94%,,100%,,94%,100%,-6,95%,94%,91%,100%,96%,100%,94%,,100%,,94%,100%,-6,95%,97%,96%,100%,89%,82%,83%,86%,82%,67%,79%,11%,9%,17%,14%,7%,99.8,82%,61%,64%,18%,39%,36%,4%
124238,860,,KS2,2015,222,FALSE,,13%,66%,22%,25%,75%,0%,97%,0%,97%,93%,100%,,100%,86%,100%,96%,4,,98%,94%,99%,97%,100%,94%,,100%,100%,100%,96%,4,,94%,94%,94%,100%,100%,100%,,100%,100%,100%,100%,0,,100%,100%,100%,94%,85%,84%,91%,81%,68%,70%,22%,27%,28%,33%,0%,100.6,15%,16%,18%,85%,84%,82%,0%
105317,351,,KS2,2015,221,FALSE,,16%,68%,16%,10%,90%,6%,97%,16%,100%,100%,100%,,100%,,,,,,97%,93%,97%,97%,100%,94%,,95%,,,,,,99%,100%,99%,100%,100%,100%,,100%,,,,,,100%,100%,100%,87%,77%,78%,87%,81%,63%,81%,32%,16%,15%,19%,3%,100.2,10%,19%,19%,90%,81%,81%,16%
111715,806,142367,KS2,2015,221,FALSE,,13%,74%,13%,58%,42%,8%,96%,0%,100%,100%,100%,,100%,,100%,100%,0,,99%,97%,100%,91%,100%,80%,,88%,,85%,100%,-15,,93%,91%,94%,96%,100%,90%,,100%,,92%,100%,-8,,97%,94%,100%,88%,71%,71%,78%,88%,50%,67%,25%,0%,11%,11%,0%,100.9,52%,50%,44%,48%,50%,56%,0%
123020,931,142362,KS2,2015,220,FALSE,,16%,65%,19%,23%,77%,10%,97%,0%,87%,80%,90%,,90%,67%,57%,96%,-39,,85%,76%,88%,84%,80%,86%,,90%,83%,71%,88%,-17,,86%,80%,88%,97%,90%,100%,,95%,100%,86%,100%,-14,,97%,92%,99%,74%,67%,77%,71%,58%,62%,56%,13%,10%,12%,12%,3%,98.9,26%,15%,27%,74%,85%,73%,0%
139084,370,,KS2,2015,219,FALSE,,8%,81%,12%,52%,48%,4%,85%,0%,100%,100%,100%,,100%,,100%,100%,0,,96%,95%,97%,96%,91%,100%,,95%,,100%,92%,8,,99%,100%,97%,96%,91%,100%,,95%,,100%,92%,8,,97%,97%,97%,93%,60%,69%,79%,78%,58%,63%,15%,8%,12%,11%,0%,100.5,36%,58%,58%,64%,42%,42%,0%
126265,865,,KS2,2015,219,FALSE,,16%,68%,16%,12%,88%,4%,100%,0%,92%,89%,94%,,94%,,,,,,86%,74%,91%,100%,100%,100%,,100%,,,,,,92%,84%,96%,100%,100%,100%,,100%,,,,,,98%,95%,100%,85%,70%,65%,84%,81%,45%,63%,12%,22%,0%,21%,0%,100.2,26%,30%,58%,74%,70%,42%,0%
100556,208,,KS2,2015,218,FALSE,,22%,59%,19%,47%,53%,73%,97%,0%,89%,92%,86%,83%,88%,,77%,100%,-23,89%,83%,80%,89%,100%,100%,100%,100%,100%,,100%,100%,0,100%,84%,83%,86%,96%,100%,93%,83%,100%,,92%,100%,-8,95%,94%,96%,89%,80%,76%,73%,53%,63%,63%,30%,20%,24%,7%,13%,7%,100.2,66%,67%,70%,34%,33%,30%,0%
102078,309,,KS2,2015,218,FALSE,,23%,54%,23%,42%,58%,67%,91%,18%,94%,93%,96%,92%,93%,100%,95%,93%,2,94%,88%,86%,90%,96%,93%,100%,83%,100%,100%,95%,97%,-2,94%,84%,80%,87%,98%,96%,100%,92%,100%,100%,95%,100%,-5,97%,95%,94%,96%,85%,72%,73%,63%,75%,63%,52%,27%,21%,25%,24%,5%,100.8,40%,41%,46%,60%,59%,54%,2%
112701,830,,KS2,2015,216,FALSE,,23%,40%,37%,17%,83%,0%,100%,10%,90%,90%,89%,57%,100%,100%,,,,,93%,92%,94%,83%,86%,78%,57%,83%,100%,,,,,86%,75%,87%,87%,86%,89%,57%,92%,100%,,,,,93%,92%,94%,73%,77%,81%,93%,70%,74%,77%,47%,33%,39%,37%,7%,100.2,10%,13%,13%,90%,87%,87%,10%
124240,860,,KS2,2015,216,FALSE,,19%,57%,23%,46%,54%,0%,85%,0%,89%,91%,88%,78%,96%,82%,86%,92%,-6,,86%,88%,85%,85%,86%,84%,67%,93%,82%,90%,81%,9,,88%,92%,84%,89%,86%,92%,56%,96%,100%,81%,96%,-15,,93%,91%,95%,77%,71%,86%,73%,56%,74%,58%,6%,17%,12%,10%,6%,98.7,55%,36%,54%,45%,64%,46%,0%
141080,928,,KS2,2015,216,FALSE,,17%,60%,23%,37%,63%,3%,90%,3%,80%,86%,67%,,83%,100%,82%,79%,3,,86%,71%,92%,93%,95%,89%,,89%,100%,82%,100%,-18,,92%,81%,96%,97%,100%,89%,,94%,100%,91%,100%,-9,,95%,90%,96%,70%,76%,82%,95%,67%,73%,75%,23%,19%,32%,10%,3%,99.8,24%,22%,25%,76%,78%,75%,3%
120225,856,,KS2,2015,215,FALSE,,19%,67%,14%,67%,33%,25%,92%,0%,71%,,69%,,79%,,80%,50%,30,,85%,86%,84%,90%,,88%,,93%,,93%,83%,10,,90%,91%,88%,81%,,81%,,79%,,80%,83%,-3,,93%,93%,92%,63%,77%,65%,71%,50%,48%,46%,8%,18%,9%,21%,4%,98.6,32%,39%,68%,68%,61%,32%,0%
120608,925,,KS2,2015,215,FALSE,,24%,55%,21%,13%,87%,13%,94%,10%,97%,100%,93%,100%,94%,100%,,,,,98%,92%,99%,97%,93%,100%,86%,100%,100%,,,,,99%,100%,99%,100%,100%,100%,100%,100%,100%,,,,,100%,100%,100%,87%,89%,100%,88%,81%,90%,78%,32%,15%,41%,28%,0%,101,15%,14%,16%,85%,86%,84%,0%
121591,815,,KS2,2015,214,FALSE,,17%,57%,27%,30%,70%,17%,93%,13%,93%,87%,100%,,100%,88%,100%,90%,10,,86%,82%,88%,87%,93%,80%,,100%,88%,89%,86%,3,,86%,77%,89%,100%,100%,100%,,100%,100%,100%,100%,0,,95%,91%,96%,87%,64%,55%,88%,73%,48%,62%,20%,11%,15%,31%,10%,99.7,18%,23%,19%,82%,78%,81%,3%
134008,305,,KS2,2015,213,FALSE,,15%,67%,19%,70%,30%,19%,100%,0%,100%,100%,100%,,100%,,100%,100%,0,,90%,88%,95%,100%,100%,100%,,100%,,100%,100%,0,,94%,96%,91%,100%,100%,100%,,100%,,100%,100%,0,,97%,98%,95%,96%,53%,43%,91%,96%,24%,87%,37%,0%,0%,22%,0%,102.5,71%,67%,65%,29%,33%,35%,0%
112899,830,141569,KS2,2015,213,FALSE,,16%,72%,13%,11%,89%,0%,97%,0%,100%,100%,100%,,100%,,,,,,93%,89%,94%,97%,93%,100%,,100%,,,,,,94%,100%,94%,100%,100%,100%,,100%,,,,,,98%,100%,97%,94%,86%,88%,93%,89%,81%,86%,54%,31%,38%,31%,0%,102.2,3%,12%,7%,97%,88%,93%,0%
126368,865,,KS2,2015,213,FALSE,,7%,77%,17%,16%,84%,0%,100%,6%,90%,91%,89%,,87%,,,,,,95%,100%,94%,97%,91%,100%,,96%,,,,,,95%,100%,94%,97%,91%,100%,,96%,,,,,,94%,100%,93%,77%,82%,86%,82%,65%,76%,57%,23%,21%,31%,21%,0%,99.9,6%,10%,25%,94%,90%,75%,0%
135779,801,,KS2,2015,212,FALSE,,14%,71%,14%,57%,43%,10%,90%,13%,96%,93%,100%,,95%,,100%,91%,9,,89%,94%,80%,96%,93%,100%,,95%,,100%,91%,9,,92%,94%,90%,96%,100%,92%,,95%,,94%,100%,-6,,92%,91%,95%,77%,76%,88%,63%,70%,38%,37%,13%,18%,25%,0%,3%,100,53%,50%,68%,47%,50%,32%,0%
113339,878,,KS2,2015,212,FALSE,,22%,57%,22%,17%,83%,0%,83%,0%,91%,92%,91%,,92%,,,,,,93%,100%,92%,87%,83%,91%,,85%,,,,,,92%,90%,92%,100%,100%,100%,,100%,,,,,,100%,100%,100%,92%,72%,89%,68%,83%,78%,63%,17%,11%,11%,11%,0%,100.3,11%,17%,16%,89%,83%,84%,0%
104812,342,,KS2,2015,210,FALSE,,20%,60%,20%,38%,63%,6%,88%,13%,87%,77%,94%,83%,89%,83%,90%,85%,5,,87%,82%,89%,83%,85%,82%,83%,83%,83%,80%,85%,-5,,84%,75%,89%,97%,92%,100%,100%,94%,100%,90%,100%,-10,,98%,96%,98%,66%,81%,67%,78%,53%,59%,59%,25%,22%,26%,26%,6%,99.3,15%,41%,30%,85%,59%,70%,0%
105314,351,,KS2,2015,210,FALSE,,20%,57%,23%,23%,77%,3%,100%,0%,93%,93%,94%,83%,100%,86%,100%,91%,9,,93%,90%,94%,97%,100%,94%,100%,94%,100%,100%,96%,4,,92%,86%,94%,100%,100%,100%,100%,100%,100%,100%,100%,0,,98%,95%,98%,87%,79%,73%,86%,67%,47%,75%,20%,18%,20%,32%,0%,100.1,14%,23%,29%,86%,77%,71%,0%
137056,881,,KS2,2015,210,FALSE,,23%,47%,30%,13%,87%,13%,100%,3%,100%,100%,100%,100%,100%,100%,,,,,95%,86%,96%,93%,88%,100%,71%,100%,100%,,,,,90%,100%,89%,93%,88%,100%,86%,100%,89%,,,,,97%,100%,96%,90%,100%,90%,90%,70%,77%,69%,10%,30%,27%,24%,7%,99.4,7%,3%,7%,93%,97%,93%,3%
104519,341,,KS2,2015,209,FALSE,,16%,68%,16%,40%,60%,5%,90%,0%,95%,91%,100%,,92%,,88%,100%,-12,,90%,87%,94%,100%,100%,100%,,100%,,100%,100%,0,,90%,91%,87%,95%,91%,100%,,92%,,88%,100%,-12,,91%,93%,87%,95%,63%,52%,79%,75%,34%,45%,20%,7%,10%,14%,0%,100.4,44%,72%,59%,56%,28%,41%,0%
