local_authority_id,result_type,result_year,total_pupils,ks2_percent_low_ks1_attainers,ks2_percent_medium_ks1_attainers,ks2_percent_high_ks1_attainers,ks2_percent_disadvantaged,ks2_percent_not_disadvantaged,ks2_percent_EAL,ks2_percent_non_mobile,ks2_percent_special_needs,ks2_percent_2_levels_progress_maths,ks2_percent_boys_2_levels_progress_maths,ks2_percent_girls_2_levels_progress_maths,ks2_percent_low_PA_2_levels_progress_maths,ks2_percent_med_PA_2_levels_progress_maths,ks2_percent_high_PA_2_levels_progress_maths,ks2_percent_disadvantaged_2_levels_progress_maths,ks2_percent_not_disadvantaged_2_levels_progress_maths,ks2_percent_GAP_disadvantaged_others_2_levels_progress_maths,ks2_percent_EAL_2_levels_progress_maths,ks2_percent_2_levels_progress_maths_3YR_avg,ks2_percent_disadvantaged_2_levels_progress_maths_3YR_avg,ks2_percent_not_disadvantaged_2_levels_progress_maths_3YR_avg,ks2_percent_2_levels_progress_reading,ks2_percent_boys_2_levels_progress_reading,ks2_percent_girls_2_levels_progress_reading,ks2_percent_low_PA_2_levels_progress_reading,ks2_percent_med_PA_2_levels_progress_reading,ks2_percent_high_PA_2_levels_progress_reading,ks2_percent_disadvantaged_2_levels_progress_reading,ks2_percent_not_disadvantaged_2_levels_progress_reading,ks2_percent_GAP_disadvantaged_others_2_levels_progress_reading,ks2_percent_EAL_2_levels_progress_reading,ks2_percent_2_levels_progress_reading_3YR_avg,ks2_percent_disadvantaged_2_levels_progress_reading_3YR_avg,ks2_percent_not_disadvantaged_2_levels_progress_reading_3YR_avg,ks2_percent_2_levels_progress_writing,ks2_percent_boys_2_levels_progress_writing,ks2_percent_girls_2_levels_progress_writing,ks2_percent_low_PA_2_levels_progress_writing,ks2_percent_med_PA_2_levels_progress_writing,ks2_percent_high_PA_2_levels_progress_writing,ks2_percent_disadvantaged_2_levels_progress_writing,ks2_percent_not_disadvantaged_2_levels_progress_writing,ks2_percent_GAP_disadvantaged_others_2_levels_progress_writing,ks2_percent_EAL_2_levels_progress_writing,ks2_percent_2_levels_progress_writing_3YR_avg,ks2_percent_disadvantaged_2_levels_progress_writing_3YR_avg,ks2_percent_not_disadvantaged_2_levels_progress_writing_3YR_avg,ks2_percent_level_4_above_RWM,ks2_percent_level_4_above_RWM_2012,ks2_percent_level_4_above_RWM_2013,ks2_percent_level_4_above_RWM_2014,ks2_percent_level_4B_above_RWM,ks2_percent_level_4B_above_RWM_2013,ks2_percent_level_4B_above_RWM_2014,ks2_percent_level_5_above_RWM,ks2_percent_level_5_above_RWM_2012,ks2_percent_level_5_above_RWM_2013,ks2_percent_level_5_above_RWM_2014,ks2_percent_level_3_below_RWM,ks2_percent_disadvantaged_2012,ks2_percent_disadvantaged_2013,ks2_percent_disadvantaged_2014,ks2_percent_not_disadvantaged_2012,ks2_percent_not_disadvantaged_2013,ks2_percent_not_disadvantaged_2014,percent_SEN_statement
837,KS2,2015,11030,15%,55%,30%,29%,71%,14%,92%,4%,88%,88%,88%,75%,89%,93%,84%,90%,-6,94%,87%,82%,89%,91%,89%,93%,78%,94%,92%,87%,93%,-6,92%,89%,85%,91%,93%,92%,94%,87%,93%,95%,89%,95%,-6,96%,92%,90%,93%,81%,72%,75%,80%,70%,63%,66%,27%,16%,19%,21%,5%,26%,29%,29%,74%,71%,71%,2%
840,KS2,2015,39849,20%,59%,21%,39%,61%,2%,93%,6%,92%,93%,92%,82%,95%,94%,89%,94%,-5,97%,91%,88%,93%,93%,92%,94%,86%,96%,93%,91%,95%,-4,96%,92%,88%,94%,95%,94%,97%,89%,97%,98%,93%,97%,-4,97%,94%,91%,96%,82%,75%,78%,79%,71%,66%,67%,25%,18%,20%,22%,5%,35%,37%,37%,65%,63%,63%,3%
841,KS2,2015,9001,20%,62%,18%,36%,64%,5%,92%,4%,93%,92%,94%,78%,97%,98%,91%,94%,-3,95%,92%,88%,93%,93%,92%,94%,77%,98%,95%,88%,96%,-8,93%,92%,88%,94%,95%,93%,97%,85%,98%,97%,92%,96%,-4,95%,94%,90%,96%,83%,77%,79%,81%,72%,68%,70%,24%,20%,22%,25%,6%,36%,33%,33%,64%,67%,67%,2%
845,KS2,2015,35840,19%,58%,23%,30%,70%,5%,92%,5%,89%,90%,88%,76%,92%,92%,85%,91%,-6,96%,87%,82%,89%,91%,90%,92%,82%,94%,91%,88%,92%,-4,92%,90%,86%,91%,96%,95%,97%,91%,97%,98%,94%,97%,-3,95%,94%,91%,95%,80%,71%,72%,78%,68%,59%,66%,22%,17%,18%,21%,5%,26%,25%,25%,74%,75%,75%,4%
846,KS2,2015,16410,17%,51%,32%,30%,70%,11%,94%,2%,88%,89%,87%,75%,91%,90%,80%,91%,-11,92%,89%,82%,91%,90%,89%,91%,78%,94%,92%,87%,92%,-5,93%,91%,87%,92%,95%,93%,96%,87%,96%,98%,92%,96%,-4,94%,93%,90%,95%,82%,74%,79%,81%,72%,67%,72%,26%,23%,24%,24%,4%,29%,29%,29%,71%,71%,71%,2%
850,KS2,2015,77888,13%,56%,30%,22%,78%,5%,93%,2%,90%,91%,88%,71%,92%,93%,84%,91%,-7,94%,89%,83%,90%,91%,90%,91%,77%,94%,91%,86%,92%,-6,94%,90%,85%,91%,95%,93%,96%,85%,95%,97%,91%,96%,-5,98%,92%,88%,94%,83%,77%,78%,82%,73%,67%,71%,27%,21%,22%,25%,4%,19%,21%,21%,81%,79%,79%,1%
851,KS2,2015,12195,16%,61%,23%,39%,61%,14%,92%,5%,88%,88%,88%,68%,91%,92%,85%,90%,-5,92%,86%,81%,89%,87%,86%,89%,72%,91%,88%,84%,89%,-5,89%,86%,84%,87%,93%,91%,95%,81%,95%,97%,90%,95%,-5,95%,91%,88%,93%,78%,65%,70%,75%,66%,57%,63%,18%,15%,14%,18%,7%,36%,36%,36%,64%,64%,64%,4%
852,KS2,2015,16024,17%,57%,27%,38%,62%,20%,92%,3%,87%,86%,88%,71%,91%,90%,82%,90%,-8,90%,88%,83%,91%,89%,88%,90%,78%,93%,89%,86%,91%,-5,89%,88%,84%,91%,90%,89%,92%,84%,92%,91%,88%,92%,-4,92%,91%,87%,93%,80%,72%,77%,81%,70%,64%,69%,23%,17%,19%,22%,6%,38%,39%,39%,62%,61%,61%,3%
855,KS2,2015,48001,13%,57%,29%,21%,79%,6%,81%,4%,87%,90%,85%,68%,90%,92%,79%,90%,-11,91%,87%,79%,89%,89%,89%,90%,72%,93%,89%,83%,91%,-8,91%,88%,83%,90%,93%,92%,94%,84%,94%,95%,88%,94%,-6,94%,91%,87%,92%,80%,76%,74%,79%,69%,63%,68%,24%,21%,21%,24%,6%,16%,20%,20%,84%,80%,80%,2%
856,KS2,2015,30662,19%,61%,20%,43%,57%,50%,92%,5%,90%,90%,90%,77%,94%,94%,88%,92%,-4,92%,90%,87%,92%,91%,90%,91%,79%,95%,89%,88%,93%,-5,91%,90%,87%,92%,93%,92%,94%,88%,96%,92%,92%,95%,-3,94%,92%,91%,93%,78%,71%,75%,75%,66%,61%,64%,19%,15%,17%,18%,7%,40%,44%,44%,60%,56%,56%,2%
857,KS2,2015,2652,10%,63%,27%,14%,86%,2%,88%,6%,87%,85%,89%,56%,90%,93%,83%,88%,-5,100%,84%,71%,87%,94%,93%,95%,85%,95%,96%,98%,93%,5,83%,90%,84%,91%,92%,91%,93%,71%,94%,96%,87%,93%,-6,100%,89%,79%,91%,83%,80%,70%,72%,72%,61%,63%,26%,25%,21%,23%,5%,12%,12%,12%,88%,88%,88%,3%
860,KS2,2015,60589,15%,58%,27%,25%,75%,5%,94%,5%,89%,89%,88%,73%,91%,92%,83%,91%,-8,90%,87%,80%,89%,90%,89%,91%,75%,94%,91%,86%,91%,-5,90%,88%,83%,90%,94%,92%,95%,84%,95%,96%,90%,95%,-5,94%,92%,88%,93%,80%,75%,75%,78%,70%,62%,66%,24%,20%,21%,24%,6%,22%,24%,24%,78%,76%,76%,3%
861,KS2,2015,23245,26%,58%,17%,43%,57%,18%,92%,4%,92%,92%,93%,83%,96%,93%,91%,94%,-3,91%,91%,89%,92%,93%,93%,94%,88%,96%,92%,93%,94%,-1,94%,91%,90%,92%,94%,93%,96%,88%,97%,97%,92%,96%,-4,94%,93%,91%,95%,78%,70%,72%,77%,68%,58%,65%,20%,15%,14%,18%,6%,40%,44%,44%,60%,56%,56%,3%
865,KS2,2015,34810,16%,58%,25%,20%,80%,4%,91%,4%,89%,89%,88%,74%,91%,94%,85%,90%,-5,92%,89%,83%,90%,92%,91%,93%,79%,95%,94%,87%,93%,-6,89%,91%,85%,93%,95%,93%,96%,88%,96%,97%,92%,95%,-3,94%,94%,91%,95%,80%,73%,76%,78%,69%,64%,67%,24%,21%,23%,24%,5%,19%,19%,19%,81%,81%,81%,2%
866,KS2,2015,19276,17%,57%,25%,27%,73%,14%,92%,7%,90%,90%,91%,81%,93%,90%,86%,92%,-6,95%,89%,85%,90%,91%,90%,93%,83%,93%,93%,88%,92%,-4,92%,89%,85%,91%,95%,94%,96%,89%,96%,98%,92%,96%,-4,96%,94%,91%,95%,82%,74%,75%,81%,72%,63%,69%,24%,19%,20%,25%,5%,27%,27%,27%,73%,73%,73%,4%
867,KS2,2015,9806,17%,60%,23%,20%,80%,12%,93%,4%,89%,88%,90%,71%,92%,95%,84%,90%,-6,96%,88%,80%,90%,93%,92%,93%,83%,95%,93%,87%,94%,-7,94%,91%,86%,92%,96%,95%,96%,93%,97%,94%,94%,96%,-2,98%,95%,91%,96%,80%,76%,78%,79%,67%,65%,67%,20%,18%,20%,19%,4%,19%,17%,17%,81%,83%,83%,3%
868,KS2,2015,8360,10%,58%,33%,19%,81%,16%,93%,5%,88%,89%,87%,61%,89%,95%,78%,91%,-13,90%,88%,78%,91%,93%,92%,93%,77%,95%,94%,86%,94%,-8,94%,91%,82%,93%,92%,90%,94%,84%,93%,93%,85%,94%,-9,95%,91%,84%,92%,82%,79%,79%,82%,74%,69%,73%,29%,25%,29%,30%,4%,16%,17%,17%,84%,83%,83%,3%
869,KS2,2015,12034,11%,58%,30%,17%,83%,5%,93%,4%,85%,85%,86%,57%,88%,91%,79%,87%,-8,86%,85%,76%,87%,91%,89%,92%,68%,94%,93%,85%,92%,-7,83%,89%,83%,91%,94%,92%,96%,78%,96%,97%,91%,95%,-4,87%,93%,88%,94%,81%,74%,77%,82%,70%,65%,70%,29%,21%,22%,27%,5%,18%,17%,17%,82%,83%,83%,4%
870,KS2,2015,13675,18%,56%,26%,32%,68%,30%,92%,6%,87%,87%,87%,65%,92%,91%,81%,90%,-9,89%,87%,81%,90%,90%,90%,91%,75%,93%,95%,85%,93%,-8,92%,89%,85%,92%,95%,94%,96%,89%,96%,98%,92%,97%,-5,96%,92%,89%,94%,79%,73%,69%,75%,67%,58%,62%,24%,20%,17%,21%,7%,31%,33%,33%,69%,67%,67%,4%
871,KS2,2015,16080,15%,63%,22%,31%,69%,57%,93%,4%,87%,88%,87%,69%,91%,91%,85%,89%,-4,92%,87%,83%,89%,90%,89%,91%,79%,93%,90%,89%,91%,-2,92%,89%,86%,91%,92%,92%,93%,89%,94%,92%,91%,93%,-2,94%,93%,91%,93%,78%,73%,74%,78%,66%,61%,65%,25%,18%,22%,25%,5%,33%,31%,31%,67%,69%,69%,4%
872,KS2,2015,12599,10%,57%,33%,12%,88%,13%,93%,3%,90%,91%,90%,69%,92%,95%,76%,92%,-16,93%,90%,77%,92%,93%,92%,94%,76%,95%,95%,84%,94%,-10,94%,92%,83%,93%,95%,93%,97%,87%,95%,97%,88%,96%,-8,95%,94%,88%,95%,85%,79%,81%,85%,76%,71%,75%,31%,26%,27%,31%,4%,10%,10%,10%,90%,90%,90%,3%
873,KS2,2015,45194,17%,56%,27%,22%,78%,11%,92%,5%,87%,88%,87%,69%,90%,93%,80%,90%,-10,93%,86%,78%,88%,90%,88%,91%,75%,93%,91%,84%,91%,-7,93%,89%,82%,90%,93%,91%,94%,85%,94%,95%,88%,94%,-6,96%,91%,86%,92%,78%,74%,72%,76%,67%,62%,65%,23%,20%,20%,24%,7%,19%,20%,20%,81%,80%,80%,4%
874,KS2,2015,19874,21%,57%,22%,35%,65%,35%,92%,4%,89%,89%,89%,79%,91%,93%,85%,91%,-6,90%,88%,83%,91%,89%,88%,89%,76%,93%,92%,84%,91%,-7,90%,88%,84%,91%,94%,92%,96%,89%,96%,97%,91%,96%,-5,95%,93%,90%,95%,76%,69%,71%,73%,62%,59%,61%,19%,16%,18%,19%,7%,33%,32%,32%,67%,68%,68%,4%
876,KS2,2015,11297,19%,61%,21%,45%,55%,1%,95%,5%,90%,91%,90%,76%,94%,94%,88%,93%,-5,100%,90%,87%,92%,92%,91%,92%,80%,96%,91%,92%,92%,0,100%,90%,88%,91%,95%,94%,97%,89%,96%,99%,94%,96%,-2,100%,94%,92%,95%,79%,77%,78%,79%,68%,65%,68%,19%,20%,20%,21%,5%,43%,44%,44%,57%,56%,56%,1%
877,KS2,2015,18349,15%,58%,28%,22%,78%,5%,95%,4%,90%,90%,91%,75%,93%,93%,86%,92%,-6,95%,91%,86%,92%,93%,93%,94%,81%,96%,94%,90%,94%,-4,92%,92%,89%,92%,96%,95%,97%,89%,98%,98%,93%,97%,-4,97%,94%,92%,95%,85%,79%,80%,83%,74%,69%,74%,27%,21%,23%,26%,5%,20%,22%,22%,80%,78%,78%,2%
878,KS2,2015,53398,16%,58%,26%,25%,75%,3%,91%,8%,91%,91%,90%,77%,93%,95%,85%,93%,-8,95%,90%,83%,92%,93%,92%,93%,82%,95%,94%,90%,93%,-3,93%,91%,88%,93%,96%,94%,97%,89%,97%,98%,93%,96%,-3,95%,94%,91%,95%,82%,78%,77%,81%,72%,66%,70%,27%,22%,23%,26%,4%,20%,22%,22%,80%,78%,78%,4%
879,KS2,2015,20167,21%,57%,22%,35%,65%,6%,92%,4%,89%,89%,88%,79%,92%,92%,87%,90%,-3,94%,88%,85%,90%,91%,90%,91%,83%,95%,89%,90%,91%,-1,93%,90%,88%,91%,92%,91%,94%,87%,95%,91%,91%,93%,-2,96%,91%,89%,92%,77%,71%,74%,74%,67%,61%,62%,18%,19%,19%,18%,7%,32%,33%,33%,68%,67%,67%,3%
880,KS2,2015,10325,19%,60%,20%,35%,65%,4%,90%,7%,90%,92%,89%,72%,94%,96%,84%,94%,-10,93%,90%,86%,93%,93%,92%,94%,81%,96%,94%,90%,94%,-4,100%,91%,87%,93%,94%,94%,94%,84%,96%,98%,92%,95%,-3,93%,93%,91%,94%,80%,72%,77%,77%,68%,65%,66%,22%,18%,17%,20%,6%,33%,34%,34%,67%,66%,66%,5%
881,KS2,2015,101342,18%,57%,26%,25%,75%,6%,93%,7%,90%,90%,90%,76%,93%,94%,85%,92%,-7,95%,88%,83%,90%,91%,91%,92%,80%,95%,92%,88%,93%,-5,93%,90%,85%,91%,95%,93%,96%,88%,96%,97%,92%,95%,-3,96%,92%,89%,94%,81%,74%,75%,79%,70%,62%,67%,25%,20%,21%,24%,5%,22%,24%,24%,78%,76%,76%,4%
882,KS2,2015,12995,16%,54%,29%,36%,64%,13%,92%,6%,88%,89%,87%,68%,91%,94%,83%,90%,-7,90%,87%,82%,90%,89%,89%,90%,73%,93%,92%,86%,91%,-5,90%,88%,83%,91%,94%,93%,96%,84%,96%,98%,91%,96%,-5,95%,93%,90%,95%,80%,71%,74%,80%,69%,61%,69%,25%,20%,22%,25%,6%,31%,35%,35%,69%,65%,65%,4%
883,KS2,2015,16646,20%,64%,15%,31%,69%,16%,88%,6%,90%,90%,90%,73%,94%,95%,85%,92%,-7,95%,89%,85%,91%,92%,90%,94%,80%,96%,95%,90%,93%,-3,95%,91%,88%,92%,96%,95%,97%,90%,98%,97%,93%,97%,-4,98%,94%,92%,96%,79%,71%,72%,77%,66%,60%,63%,20%,17%,17%,20%,6%,29%,30%,30%,71%,70%,70%,4%
884,KS2,2015,13492,16%,60%,23%,21%,79%,4%,93%,3%,92%,91%,92%,80%,94%,94%,86%,93%,-7,96%,90%,82%,92%,92%,91%,93%,79%,95%,94%,88%,93%,-5,96%,91%,86%,92%,95%,93%,96%,89%,95%,97%,91%,96%,-5,98%,93%,88%,94%,80%,71%,71%,76%,70%,60%,64%,24%,18%,19%,20%,5%,20%,22%,22%,80%,78%,78%,2%
885,KS2,2015,35094,16%,56%,28%,25%,75%,6%,87%,7%,85%,86%,84%,68%,87%,91%,79%,87%,-8,87%,85%,79%,87%,89%,87%,90%,75%,93%,89%,84%,90%,-6,89%,88%,82%,90%,91%,89%,93%,81%,93%,94%,87%,93%,-6,91%,91%,86%,92%,76%,73%,72%,77%,65%,60%,64%,22%,20%,20%,22%,7%,22%,23%,23%,78%,77%,77%,3%
886,KS2,2015,117072,18%,56%,26%,27%,73%,9%,93%,3%,90%,90%,89%,75%,92%,94%,84%,92%,-8,93%,88%,83%,90%,92%,91%,92%,80%,95%,93%,87%,93%,-6,93%,90%,85%,91%,95%,94%,96%,88%,97%,96%,92%,96%,-4,96%,93%,89%,94%,81%,72%,74%,79%,70%,62%,68%,26%,20%,22%,25%,6%,24%,26%,26%,76%,74%,74%,2%
887,KS2,2015,21420,20%,58%,22%,32%,68%,11%,92%,5%,86%,87%,85%,70%,89%,93%,80%,89%,-9,88%,85%,79%,88%,89%,88%,89%,76%,92%,90%,85%,90%,-5,92%,87%,83%,89%,93%,91%,95%,86%,94%,96%,90%,94%,-4,94%,92%,88%,94%,73%,68%,71%,75%,61%,57%,62%,19%,16%,17%,19%,7%,29%,31%,31%,71%,69%,69%,3%
888,KS2,2015,96534,18%,58%,24%,29%,71%,12%,94%,5%,91%,91%,91%,79%,94%,94%,87%,93%,-6,91%,91%,86%,93%,93%,92%,94%,82%,96%,93%,90%,94%,-4,91%,91%,88%,93%,96%,95%,97%,90%,97%,98%,93%,97%,-4,95%,95%,92%,96%,82%,76%,77%,81%,71%,65%,69%,24%,20%,21%,25%,5%,26%,27%,27%,74%,73%,73%,2%
889,KS2,2015,14662,19%,63%,18%,37%,63%,41%,95%,6%,92%,92%,92%,77%,95%,98%,90%,93%,-3,93%,90%,87%,92%,92%,91%,93%,83%,95%,93%,91%,93%,-2,93%,90%,88%,91%,95%,94%,96%,91%,96%,98%,93%,96%,-3,95%,93%,91%,95%,81%,72%,75%,76%,69%,62%,64%,23%,17%,16%,20%,6%,36%,38%,38%,64%,62%,62%,1%
890,KS2,2015,12848,25%,59%,16%,47%,53%,5%,92%,7%,91%,91%,91%,80%,95%,93%,88%,93%,-5,95%,91%,88%,93%,91%,90%,93%,82%,96%,91%,90%,93%,-3,95%,91%,90%,92%,96%,95%,97%,90%,98%,99%,95%,97%,-2,97%,95%,94%,96%,79%,73%,76%,78%,66%,61%,66%,18%,13%,16%,19%,6%,44%,45%,45%,56%,55%,55%,2%
891,KS2,2015,64955,17%,58%,26%,27%,73%,5%,93%,3%,90%,90%,90%,75%,93%,93%,85%,92%,-7,91%,89%,85%,91%,91%,90%,92%,79%,94%,91%,87%,92%,-5,89%,90%,86%,92%,94%,93%,95%,88%,96%,96%,92%,95%,-3,94%,93%,90%,94%,81%,77%,77%,79%,69%,65%,67%,24%,21%,22%,23%,6%,25%,26%,26%,75%,74%,74%,1%
892,KS2,2015,28265,24%,58%,19%,50%,50%,28%,92%,4%,90%,90%,90%,79%,94%,93%,88%,93%,-5,92%,89%,87%,92%,91%,90%,91%,82%,95%,91%,89%,93%,-4,91%,90%,88%,92%,94%,93%,95%,88%,96%,98%,93%,95%,-2,94%,93%,91%,94%,77%,69%,73%,76%,64%,59%,62%,20%,15%,16%,18%,7%,48%,48%,48%,52%,52%,52%,1%
893,KS2,2015,20145,15%,59%,26%,23%,77%,2%,92%,7%,91%,91%,91%,79%,93%,94%,86%,93%,-7,90%,89%,83%,91%,92%,91%,94%,82%,95%,93%,89%,93%,-4,90%,90%,87%,91%,94%,93%,95%,88%,95%,96%,91%,95%,-4,98%,93%,89%,94%,81%,78%,76%,78%,70%,63%,67%,25%,21%,21%,24%,5%,20%,21%,21%,80%,79%,79%,5%
894,KS2,2015,15447,19%,56%,26%,34%,66%,7%,91%,7%,91%,91%,90%,79%,94%,93%,86%,93%,-7,92%,88%,83%,91%,92%,92%,92%,84%,95%,92%,89%,94%,-5,89%,90%,86%,92%,95%,95%,96%,90%,96%,98%,93%,96%,-3,96%,93%,91%,95%,82%,74%,74%,78%,71%,59%,66%,25%,20%,21%,22%,5%,32%,36%,36%,68%,64%,64%,3%
895,KS2,2015,28916,14%,59%,27%,20%,80%,5%,94%,4%,91%,91%,90%,76%,92%,94%,84%,92%,-8,89%,91%,85%,93%,93%,92%,94%,80%,96%,93%,90%,93%,-3,93%,92%,89%,93%,94%,93%,95%,88%,95%,96%,91%,95%,-4,91%,94%,91%,95%,81%,82%,81%,84%,71%,69%,75%,26%,27%,27%,31%,5%,18%,19%,19%,82%,81%,81%,3%
896,KS2,2015,27333,16%,60%,24%,25%,75%,4%,93%,4%,91%,91%,92%,75%,94%,96%,87%,93%,-6,91%,90%,84%,92%,94%,93%,95%,82%,96%,95%,91%,95%,-4,91%,92%,88%,93%,95%,93%,97%,86%,97%,98%,91%,96%,-5,95%,93%,88%,95%,82%,77%,77%,80%,72%,65%,71%,27%,22%,23%,28%,5%,23%,25%,25%,77%,75%,75%,3%
908,KS2,2015,37644,19%,56%,25%,28%,72%,2%,92%,4%,89%,89%,89%,77%,92%,91%,83%,91%,-8,99%,88%,82%,90%,91%,91%,92%,81%,95%,91%,88%,93%,-5,97%,90%,86%,91%,94%,93%,96%,90%,96%,96%,92%,96%,-4,97%,93%,89%,94%,79%,73%,75%,77%,68%,61%,65%,23%,19%,20%,22%,6%,26%,27%,27%,74%,73%,73%,2%
909,KS2,2015,35119,17%,58%,25%,23%,77%,2%,94%,5%,89%,90%,89%,76%,92%,92%,86%,91%,-5,96%,89%,85%,90%,92%,91%,93%,85%,95%,91%,89%,93%,-4,90%,91%,89%,92%,94%,93%,95%,90%,95%,96%,93%,95%,-2,96%,92%,89%,93%,80%,75%,77%,79%,71%,65%,68%,23%,20%,21%,22%,4%,22%,23%,23%,78%,77%,77%,2%
916,KS2,2015,41808,15%,57%,28%,24%,76%,6%,93%,5%,91%,91%,90%,78%,92%,94%,85%,93%,-8,93%,90%,84%,92%,92%,91%,93%,81%,94%,94%,86%,94%,-8,91%,91%,86%,93%,95%,93%,96%,87%,96%,97%,89%,96%,-7,94%,94%,89%,96%,82%,78%,79%,81%,72%,68%,70%,28%,24%,25%,27%,5%,20%,22%,22%,80%,78%,78%,3%
919,KS2,2015,93521,13%,54%,33%,22%,78%,14%,93%,4%,89%,90%,88%,73%,91%,92%,83%,91%,-8,92%,89%,83%,91%,92%,91%,92%,78%,95%,92%,88%,93%,-5,92%,91%,86%,92%,95%,93%,96%,85%,96%,96%,92%,95%,-3,96%,94%,90%,95%,84%,79%,80%,83%,74%,69%,73%,29%,25%,27%,29%,4%,20%,22%,22%,80%,78%,78%,2%
921,KS2,2015,9233,13%,59%,27%,31%,69%,2%,90%,3%,84%,84%,85%,64%,87%,90%,81%,86%,-5,94%,82%,76%,85%,89%,87%,91%,73%,93%,91%,87%,90%,-3,94%,86%,81%,88%,89%,89%,89%,85%,89%,91%,87%,89%,-2,88%,89%,86%,90%,78%,71%,72%,75%,66%,56%,62%,19%,16%,16%,17%,7%,30%,33%,33%,70%,67%,67%,2%
925,KS2,2015,52339,18%,56%,26%,27%,73%,7%,91%,6%,88%,89%,86%,72%,91%,91%,83%,89%,-6,92%,88%,82%,90%,91%,90%,92%,80%,94%,91%,87%,92%,-5,93%,91%,86%,92%,93%,92%,94%,85%,95%,95%,90%,95%,-5,96%,93%,89%,95%,79%,76%,76%,77%,68%,64%,66%,23%,21%,22%,22%,6%,20%,23%,23%,80%,77%,77%,3%
926,KS2,2015,52674,17%,58%,24%,29%,71%,7%,92%,7%,86%,86%,85%,67%,89%,92%,80%,88%,-8,87%,85%,79%,87%,89%,88%,90%,74%,93%,90%,84%,91%,-7,90%,87%,82%,89%,91%,90%,93%,85%,92%,95%,88%,93%,-5,94%,90%,86%,92%,76%,69%,71%,74%,64%,58%,62%,21%,17%,17%,20%,7%,26%,28%,28%,74%,72%,72%,3%
928,KS2,2015,62670,16%,57%,27%,25%,75%,11%,93%,5%,86%,87%,86%,73%,88%,91%,81%,88%,-7,90%,86%,79%,88%,89%,88%,90%,77%,92%,90%,85%,91%,-6,90%,87%,81%,89%,93%,91%,95%,87%,94%,94%,89%,94%,-5,94%,91%,87%,92%,78%,71%,72%,76%,65%,59%,64%,22%,18%,19%,22%,6%,21%,23%,23%,79%,77%,77%,3%
929,KS2,2015,19888,13%,58%,29%,29%,71%,1%,93%,5%,88%,89%,86%,75%,89%,90%,84%,89%,-5,89%,86%,82%,88%,90%,90%,90%,77%,94%,89%,87%,92%,-5,94%,89%,85%,90%,94%,93%,95%,86%,94%,96%,91%,95%,-4,100%,91%,87%,93%,81%,74%,76%,79%,70%,64%,67%,25%,20%,22%,24%,5%,26%,26%,26%,74%,74%,74%,3%
931,KS2,2015,51712,18%,58%,25%,21%,79%,11%,92%,3%,90%,91%,90%,74%,93%,95%,84%,92%,-8,92%,90%,84%,92%,92%,91%,93%,78%,96%,93%,88%,93%,-5,92%,91%,87%,92%,95%,94%,97%,87%,97%,97%,92%,96%,-4,96%,94%,91%,95%,81%,77%,78%,79%,71%,66%,68%,27%,23%,24%,26%,5%,20%,20%,20%,80%,80%,80%,2%
933,KS2,2015,35495,16%,59%,25%,26%,74%,5%,91%,2%,88%,89%,87%,73%,90%,92%,81%,90%,-9,91%,88%,82%,90%,90%,88%,91%,78%,93%,90%,86%,91%,-5,95%,89%,85%,91%,94%,93%,95%,87%,95%,95%,91%,95%,-4,96%,93%,88%,94%,78%,74%,75%,78%,67%,63%,67%,22%,20%,21%,22%,6%,21%,22%,22%,79%,78%,78%,1%
